32
0	1857	1749	1043	1864	1666	1335	2022	1222	1963	1712	1912	1747	1704	1235	1679	1294	1807	1615	1693	2013	1998	1692	1348	1296	2042	1840	1862	1040	1376	1054	1771	
1857	0	1445	1093	1106	1375	1980	1819	1161	1487	1049	1320	1658	1858	1080	1654	1723	1340	1982	1927	1451	1895	1691	1593	1297	1338	1147	1414	1047	1500	1100	1363	
1749	1445	0	1651	1125	1397	1463	1524	1371	1608	1934	1790	1092	1587	1536	1332	1676	1944	1502	1949	1263	1867	1429	1599	1804	1313	1640	1724	1795	1317	1707	1025	
1043	1093	1651	0	1838	2012	1680	1767	1623	1511	1293	1361	1509	1643	1469	1603	1273	1549	1118	1485	1459	1559	1497	1602	2027	1229	1171	1828	1836	1645	1577	1349	
1864	1106	1125	1838	0	1535	1174	1372	1427	1789	1430	1362	1489	1837	1132	1953	1852	2007	1474	1854	1398	1452	1884	1064	1289	1670	1175	1101	1562	1762	1701	1438	
1666	1375	1397	2012	1535	0	1999	1783	1134	1315	2014	1327	1685	1316	1619	1672	1908	1237	1755	1378	1041	1425	1930	1664	1791	1155	1301	1086	1274	1187	1792	1924	
1335	1980	1463	1680	1174	1999	0	1918	1494	1979	1782	1241	1036	1408	1826	1479	1084	1454	1420	1170	1601	1726	1992	1356	1126	1069	1306	1027	1166	1292	1493	1266	
2022	1819	1524	1767	1372	1783	1918	0	1103	1774	1321	1058	1835	1119	1629	1053	1727	1135	1472	1295	1714	1051	1594	1354	1061	1158	1684	1853	1584	1638	1248	1993	
1222	1161	1371	1623	1427	1134	1494	1103	0	1307	1817	1957	1991	1085	1136	1873	1098	1784	1104	1369	1444	1149	1234	1622	1277	1604	1548	1947	1532	1464	1507	1334	
1963	1487	1608	1511	1789	1315	1979	1774	1307	0	1177	1383	1279	1595	1310	1763	1950	1364	1374	1596	1070	2043	1261	1989	1631	1585	1280	1582	1978	1180	1590	1538	
1712	1049	1934	1293	1430	2014	1782	1321	1817	1177	0	1630	1880	1131	1545	2048	1406	1565	1519	1568	2011	1995	1490	1964	1636	1434	1913	1258	1829	1675	1458	1533	
1912	1320	1790	1361	1362	1327	1241	1058	1957	1383	1630	0	1805	1259	1845	1513	1290	1079	1588	1181	1939	1486	1905	1476	1648	1156	1885	1825	1557	1801	1165	1246	
1747	1658	1092	1509	1489	1685	1036	1835	1991	1279	1880	1805	0	1152	1745	1160	1752	1878	1877	1898	1440	1914	1099	1759	1892	1841	1775	2040	1722	1859	1797	2005	
1704	1858	1587	1643	1837	1316	1408	1119	1085	1595	1131	1259	1152	0	1242	1108	1196	1766	1689	1253	2041	1687	1628	1267	1986	1977	1034	1468	1394	1546	1667	1223	
1235	1080	1536	1469	1132	1619	1826	1629	1136	1310	1545	1845	1745	1242	0	1561	1820	1903	1328	1893	1159	1178	1742	1133	1094	1626	1110	1564	2010	1951	1960	1662	
1679	1654	1332	1603	1953	1672	1479	1053	1873	1763	2048	1513	1160	1108	1561	0	1613	2016	1199	1096	1970	1634	1922	1250	1385	1716	1966	1264	1226	1547	1598	1581	
1294	1723	1676	1273	1852	1908	1084	1727	1098	1950	1406	1290	1752	1196	1820	1613	0	1985	1657	1531	1965	1255	1925	1876	1757	1848	1465	1121	2020	1077	1806	1254	
1807	1340	1944	1549	2007	1237	1454	1135	1784	1364	1565	1079	1878	1766	1903	2016	1985	0	1518	1695	1382	1702	1967	1395	1154	1646	1311	1705	1868	1933	1863	1834	
1615	1982	1502	1118	1474	1755	1420	1472	1104	1374	1519	1588	1877	1689	1328	1199	1657	1518	0	1244	1481	1945	1446	1731	1544	1370	1537	1026	2025	1822	1996	1830	
1693	1927	1949	1485	1854	1378	1170	1295	1369	1596	1568	1181	1898	1253	1893	1096	1531	1695	1244	0	1988	1674	1291	1921	1492	1203	1228	1522	1621	1195	1396	1556	
2013	1451	1263	1459	1398	1041	1601	1714	1444	1070	2011	1939	1440	2041	1159	1970	1965	1382	1481	1988	0	1211	2006	2032	1081	1078	1929	1923	1787	2030	1411	1365	
1998	1895	1867	1559	1452	1425	1726	1051	1149	2043	1995	1486	1914	1687	1178	1634	1255	1702	1945	1674	1211	0	1736	1799	1753	1484	1436	1456	1954	1975	1516	1541	
1692	1691	1429	1497	1884	1930	1992	1594	1234	1261	1490	1905	1099	1628	1742	1922	1925	1967	1446	1291	2006	1736	0	1113	1871	1462	1777	1039	1072	1968	1240	1639	
